budget,actual_cost,revenue,profit,profit_margin,schedule_delay,project_duration,team_size,labor_cost,resource_utilization,margin_risk,risk_probability,predicted_margin_risk,cost_overrun_pct,labor_intensity,delay_intensity,efficiency_gap,revenue_to_cost_ratio,alert_level,root_causes,recommended_actions
923961.35,1115753.75,1158876.56,43122.81,0.037,2.0,11,11,330379.32,0.83,1.0,0.9904,1,0.2075762151739356,0.2961041538063394,0.18181818181818182,0.17000000000000004,1.0386490388224106,Critical,Cost overrun trending above normal range | Profit margin dropped below healthy baseline | Schedule delay is likely increasing overhead,Freeze non-critical spend and review vendor burn rates weekly | Reprice scope changes and negotiate margin-protection clauses | Run critical-path recovery plan and control scope additions
1849497.26,2245596.45,2035381.06,-210215.39,-0.103,2.0,8,28,663081.54,0.58,1.0,0.9888,1,0.21416587013489286,0.2952808105837538,0.25,0.42000000000000004,0.9063877260760721,Critical,Cost overrun trending above normal range | Profit margin dropped below healthy baseline | Resource utilization is inefficient,Freeze non-critical spend and review vendor burn rates weekly | Reprice scope changes and negotiate margin-protection clauses | Reallocate underused team capacity to billable activities
763791.93,941327.68,838334.83,-102992.85,-0.123,2.0,15,20,268187.31,0.75,1.0,0.9838,1,0.23243993950027725,0.28490324431976755,0.13333333333333333,0.25,0.890587675059125,Critical,Cost overrun trending above normal range | Profit margin dropped below healthy baseline | Schedule delay is likely increasing overhead,Freeze non-critical spend and review vendor burn rates weekly | Reprice scope changes and negotiate margin-protection clauses | Run critical-path recovery plan and control scope additions
1319848.01,1593167.71,1541852.56,-51315.15,-0.033,2.0,13,14,410989.9,0.78,1.0,0.9809,1,0.20708422328113368,0.25797026729847544,0.15384615384615385,0.21999999999999997,0.9677904908077757,Critical,Cost overrun trending above normal range | Profit margin dropped below healthy baseline | Schedule delay is likely increasing overhead,Freeze non-critical spend and review vendor burn rates weekly | Reprice scope changes and negotiate margin-protection clauses | Run critical-path recovery plan and control scope additions
1479638.59,1858070.4,1793808.79,-64261.61,-0.036,0.0,15,21,698707.17,0.53,1.0,0.9808,1,0.25575962438232963,0.3760391263969331,0.0,0.47,0.9654148680265291,Critical,Cost overrun trending above normal range | Profit margin dropped below healthy baseline | Resource utilization is inefficient,Freeze non-critical spend and review vendor burn rates weekly | Reprice scope changes and negotiate margin-protection clauses | Reallocate underused team capacity to billable activities
594264.22,754416.49,712454.91,-41961.58,-0.059,1.0,8,19,254483.19,0.58,1.0,0.9781,1,0.2694967400191114,0.33732453276571406,0.125,0.42000000000000004,0.9443787608619213,Critical,Cost overrun trending above normal range | Profit margin dropped below healthy baseline | Resource utilization is inefficient,Freeze non-critical spend and review vendor burn rates weekly | Reprice scope changes and negotiate margin-protection clauses | Reallocate underused team capacity to billable activities
557379.07,693869.39,691671.58,-2197.81,-0.003,1.0,9,6,263656.1,0.62,1.0,0.9775,1,0.2448788039349954,0.3799794367640284,0.1111111111111111,0.38,0.9968325306870792,Critical,Cost overrun trending above normal range | Profit margin dropped below healthy baseline | Resource utilization is inefficient,Freeze non-critical spend and review vendor burn rates weekly | Reprice scope changes and negotiate margin-protection clauses | Reallocate underused team capacity to billable activities
711319.12,870423.73,865439.66,-4984.07,-0.006,1.0,7,14,323871.58,0.73,1.0,0.9775,1,0.22367542995329576,0.3720849614244777,0.14285714285714285,0.27,0.994273972746584,Critical,Cost overrun trending above normal range | Profit margin dropped below healthy baseline | Labor cost intensity is elevated,Freeze non-critical spend and review vendor burn rates weekly | Reprice scope changes and negotiate margin-protection clauses | Audit staffing mix and reduce expensive role over-allocation
423869.66,523256.8,506170.68,-17086.12,-0.034,1.0,8,14,173102.85,0.61,1.0,0.9773,1,0.2344757112363268,0.3308181565915627,0.125,0.39,0.9673465877557635,Critical,Cost overrun trending above normal range | Profit margin dropped below healthy baseline | Resource utilization is inefficient,Freeze non-critical spend and review vendor burn rates weekly | Reprice scope changes and negotiate margin-protection clauses | Reallocate underused team capacity to billable activities
230871.58,287248.09,273777.92,-13470.16,-0.049,1.0,9,4,86920.49,0.72,1.0,0.9771,1,0.24418990851970623,0.30259727749625764,0.1111111111111111,0.28,0.9531061459799436,Critical,Cost overrun trending above normal range | Profit margin dropped below healthy baseline | Revenue conversion from cost is weak,Freeze non-critical spend and review vendor burn rates weekly | Reprice scope changes and negotiate margin-protection clauses | Revisit billing milestones and improve invoicing cadence
